title,author,publish_date,synopsis,genre,purchase_link,img_link
Through the Fairy Door: No One Is Too Small to Make a Difference (Hardback),Gabby Dawnay,"In a busy, noisy town, there is a girl called Willow. She sees the things that everyone is too distracted to notice... including a little bird, who leads her to a tiny door in an old tree. When she steps through the fairy door, she enters a magical Wild Wood, meeting tiny fairies who nourish the earth and turn the seasons. With vibrant, luminous photographs, artist Lars van de Goor launches an ordinary child on an extraordinary journey to discover the joy of living in harmony with nature and rewild her own home.",2023-02-16,"[""children's"", 'teenage', 'fiction', 'fantasy', '', ""children's"", 'teenage', 'personal', 'socialissues', 'socialissues', 'environment', 'greenissues']",https://www.waterstones.com/book/through-the-fairy-door/gabby-dawnay/lars-van-de-goor/9781913520793,https://cdn.waterstones.com/bookjackets/large/9781/9135/9781913520793.jpg
The Art and Making of Hogwarts Legacy: Exploring the Unwritten Wizarding World (Hardback),Warner Bros.,"Delve behind the scenes and learn the secrets of the making of this epic wizarding world video game, Hogwarts Legacy. The Art and Making of Hogwarts Legacy takes readers on a journey through the creation of the immersive, open-world action RPG set in the world first introduced in the Harry Potter books and the films. Go beyond the game via exclusive interviews with the development team, stunning concept sketches, renders and illustrations to really explore the creation of this unique take on a beloved world. Original concept art: Includes many never-before-seen pieces of beautiful concept art used to craft compelling wizarding world locations from Hogwarts to Hogsmeade, Gringotts and more. Exclusive interviews: Hear from the development team on the process of creating this exciting chapter in the history of the wizarding world. People, places and magic: Get an in-depth look at the compelling characters, detailed environments and amazing magic system that bring Hogwarts Legacy to life. Go behind the game: Filled with behind-the-scenes fun facts and information about the game-making process, from crafting the setting to developing the gameplay - see the incredible work and talent that go into creating such an immersive gaming experience.",2023-02-16,"[""children's"", 'teenage', 'fiction', 'adventure', 'crime', 'thrillers', '', 'entertainment', 'film', 'tv', 'radio', 'films', 'cinema', 'humour', 'generalhumour']",https://www.waterstones.com/book/the-art-and-making-of-hogwarts-legacy-exploring-the-unwritten-wizarding-world/warner-bros/9781526659910,https://cdn.waterstones.com/bookjackets/large/9781/5266/9781526659910.jpg
Two Sisters (Hardback),Blake Morrison,"Two Sisters publishes on the 30th anniversary of Blake Morrison's ground-breaking book And When Did You Last See Your Father? which forged the way for a new genre of confessional memoir. 'She's gone, that's all, and though there's no retrieving her I'd like to make sense of who she was and what she became. It wasn't just that she changed over time. She could change from day to day. Drink made it worse but the origins went deeper. You never knew which you'd get, the kind and loving Gill or her doppelganger. Two sisters.' Blake Morrison has lost a sister and a half-sister in recent years. Both are the subjects of this remarkable and heart-breaking memoir, along with a forensic examination of sibling relationships in history and literature. Blake's sister Gill struggled with alcoholism for a large part of her life, and her shocking death is the starting point for Two Sisters. Blake returns to their childhood to search for the origins of her later difficulties, and in doing so unearths the story behind his half-sister, Josie. As he unravels these narratives, Blake deals movingly in the guilt and shame that will be familiar to every person who has struggled with addiction in their family. He is unflinching in doing so, and the result is a book which provides testament to that common struggle, as well as acknowledging the complex, hidden forces on which all our lives are based. Two Sisters is the extraordinary new memoir from the chronicler of human frailty, Blake Morrison.",2023-02-16,"['biography', 'truestories', 'memoirs', '', 'biography', 'truestories', 'poetry', 'drama', 'criticism', 'prose:non-fiction']",https://www.waterstones.com/book/two-sisters/blake-morrison/9780008510527,https://cdn.waterstones.com/bookjackets/large/9780/0085/9780008510527.jpg
"Transitional: In One Way or Another, We All Transition (Hardback)",Munroe Bergdorf,"Transitioning is an alignment of the invisible and the physical. It is truth rising to the surface. It is one of the most fundamental aspects of the human condition  a part of our experience as a conscious being, no matter who we are. As time goes on, we all develop as people. None of us ever becomes someone else entirely – regardless of how we identify – but nor do we stay the same forever. We all transition. It's what binds us, not what separates us. In Transitional, activist and writer Munroe Bergdorf draws on her own experience and theory from key experts, change-makers and activists to reveal just how deeply ingrained transitioning is in human experience. This is a book to help bring us closer to a shared consciousness: a powerful guide to how our differences can be harnessed as a tool to heal, build community, and construct a better society.",2023-02-16,"['biography', 'truestories', 'memoirs', '', 'poetry', 'drama', 'criticism', 'prose:non-fiction', 'politics', 'society', 'education', 'society', 'culture', 'socialgroups', 'genderstudies']",https://www.waterstones.com/book/transitional/munroe-bergdorf/9781526630315,https://cdn.waterstones.com/bookjackets/large/9781/5266/9781526630315.jpg
This Could be Everything (Hardback),Eva Rice,"From the author of modern classic The Lost Art of Keeping Secrets comes a feel-good novel about hope, love and the powerful bond between sisters. It's 1990. The Happy Mondays are in the charts, a 15-year-old called Kate Moss is on the cover of the Face magazine, and Julia Roberts wears thigh-boots for the poster for a new movie called Pretty Woman. February Kingdom is nineteen years old when she is knocked sideways by family tragedy. Then one evening in May she finds an escaped canary in her kitchen and it sparks a glimmer of hope in her. With the help of the bird called Yellow, Feb starts to feel her way out of her own private darkness, just as her aunt embarks on a passionate and all-consuming affair with a married American drama teacher. This could be everything is a coming-of-age story with its roots under the pavements of a pre-Richard Curtis-era Notting Hill that has all but vanished. It's about what happens when you start looking after something more important than you, and the hope a yellow bird can bring.",2023-02-16,"['fiction', 'modern', 'contemporaryfiction', '', 'romanticfiction', 'contemporaryromance']",https://www.waterstones.com/book/this-could-be-everything/eva-rice/9781398510166,https://cdn.waterstones.com/bookjackets/large/9781/3985/9781398510166.jpg
The Vintage Shop of Second Chances (Hardback),Libby Page,"Among the cobbled streets of the Somerset town of Frome, Lou is embarking on the start of something new. After the death of her beloved mother, she takes a deep breath into the unknown and is opening her own vintage clothes shop. In upstate New York, Donna has just found out some news about her family which has called into question her whole upbringing. The only clue she has to unlock her past is a picture of a yellow dress, and the fact it is currently on display in a shop in England. For Maggy, she is facing life as a 70-something divorcee and while she got the house, she's not sure what to fill it with now her family have moved out. The new vintage shop in town sparks memories of her past and reignites a passion she's been missing. Together, can these three women find the answers they are searching for and unlock a second chance at a new life? It's never too late to start again.",2023-02-16,"['fiction', 'modern', 'contemporaryfiction']",https://www.waterstones.com/book/the-vintage-shop-of-second-chances/libby-page/9781409188315,https://cdn.waterstones.com/bookjackets/large/9781/4091/9781409188315.jpg
"Politics, Poverty and Belief: A Political Memoir (Hardback)",The Rt Hon Frank Field,"In this touching but also profound memoir, Field explains two key factors in his upbringing - the poverty of his own childhood and the deep and lasting effect of his Christian socialism, as exemplified in the writings of F. D. Maurice and William Temple. Field has spent his adult life fighting against poverty in Britain, through parliament and through his strong personal influence. Poverty for him has injustice at its root and as he explains in this book, he has found allies on all sides of the political spectrum. He was appointed by Tony Blair to be the Secretary of State for Pensions, but the reforms he advocated were so radical and essentially just, that Tony Blair could not contemplate them and Field stood down. Previously he had been Chairman of the Work and Pensions Select Committee under John Major. As we read in this profound book, he has been involved in the Child Poverty Action Group (CPAG) and worked with George Osborne to pass the legislation for the Minimum Living Wage. The range of his campaigns is astonishing. With the Rowntree Trust, he set up the Low Pay Unit (LPU), he battled with Chiswick Council to combat the corruption and injustice behind local housing lists. In politics, he spoke out in the House against the corruption of greed and power and for this he became greatly admired by Margaret Thatcher. In the end, Field's zeal for reform was too much for too many people. In 2015, Momentum (Trotskyite socialist political movement within the Labour Party) moved into his own local Labour party and managed to get him deselected. This is a political and personal memoir of quite exceptional importance and will be widely read, not least because it is an implicit indictment of modern British politics - the world of cash for questions, Partygate and all the rest - in which the poor get poorer and the rich get richer.",2023-02-16,"['biography', 'truestories', 'memoirs', '', 'biography', 'truestories', 'historical', 'political', 'militarybiographies', 'historical', 'political', 'militaryautobiographies', 'politics', 'society', 'education', 'politics', 'government']",https://www.waterstones.com/book/politics-poverty-and-belief/the-rt-hon-frank-field/9781399408394,https://cdn.waterstones.com/bookjackets/large/9781/3994/9781399408394.jpg
Content Warning: Everything (Hardback),Akwaeke Emezi,"A fiercely contemporary collection which renegotiates the contract between poet and reader in the light of this moment in human history, from the bestselling author of The Death of Vivek Oji. Content Warning: Everything concerns itself with the fugitive nature of being in the world especially, but not exclusively, within blackness. The poems reshape possibilities for poetry by paying close attention to the author's rhythm of thought, making a series of durable anthems from the noise of the contemporary moment. In this bold debut poetry collection, Akwaeke Emezi - award-winning author - imagines a new depth of belonging. Crafted of both divine and earthly materials, these poems travel from home to homesickness, tracing desire to surrender and abuse to survival, while mapping out a chosen family that includes the son of god, mary auntie, and magdalene with the chestnut eyes. Written from a spiritfirst perspective and celebrating the essence of self that is impossible to drown, kill, or reduce, Content Warning: Everything distills the radiant power and epic grief of a mischievous and wanting young deity, embodied.",2023-02-16,"['poetry', 'drama', 'criticism', 'poetry']",https://www.waterstones.com/book/content-warning/akwaeke-emezi/9781526658678,https://cdn.waterstones.com/bookjackets/large/9781/5266/9781526658678.jpg
Between the Chalk and the Sea: A journey on foot into the past (Hardback),Gail Simmons,"RAYNOR WINN: 'I loved this memoir - centuries of stories captured in the chalk, all told through the prism of one life.'An old map.A lost pilgrimage route. A journey in search of our walking heritage.When Henry VIII banned pilgrimage in 1538, he ended not only a centuries-old tradition of walking as an act of faith, but a valuable chance to discover the joy of walking as an escape from the burdens of everyday life.Much was lost when these journeys faded from our collective memory, but clues to our past remain. On an antique map in Oxford's Bodleian Library, a faint red line threading through towns and villages between Southampton and Canterbury suggests a significant, though long-forgotten, road. Renamed the Old Way, medieval pilgrims are thought to have travelled this route to reach the celebrated shrine of Thomas Becket.Described as England's Camino, this long-distance footpath carves through one of the nation's most iconic landscapes - one that links prehistoric earthworks, abandoned monasteries, Saxon churches, ruined castles and historic seaports.Over four seasons, travel writer Gail Simmons walks the Old Way to rediscover what a long journey on foot offers us today. In the age of the car, what does it mean to embrace 'slow travel'? Why does being a woman walking alone still feel like a radical act? In an age when walking connects the nation, can we now reclaim pilgrimage as a secular act?Winding 240 miles between the chalk hills and shifting seascapes of the south coast, Gail ventures deep into our past, exploring this lost path and telling a story of kings and knights, peasants and pilgrims, of ancient folklore and modern politics. Blending history, anthropology, etymology and geology, Gail's walk along the Old Way reveals the rich natural and cultural heritage found on our own doorstep.",2023-02-16,"['popularscience', 'nature', 'naturewriting', '', 'biography', 'truestories', 'memoirs', 'travel', 'maps', 'activeoutdoorpursuits', 'walking', 'hiking', 'trekking']",https://www.waterstones.com/book/between-the-chalk-and-the-sea/gail-simmons/9781472280275,https://cdn.waterstones.com/bookjackets/large/9781/4722/9781472280275.jpg
The Turning Tide: A Biography of the Irish Sea (Hardback),Jon Gower,"An immersive history of a pivotal stretch of water. The Turning Tide is a hymn to a sea passage of world-historical importance. Combining social and cultural history, nature-writing, travelogue and politics, Jon Gower charts a sea which has carried both Vikings and saints, invasion forces and furtive gun-runners, writers, musicians and fishermen. The divided but interconnected waters of the Irish Sea - from the narrow North Channel through St George's Channel to where the Celtic sea opens out into wide Atlantic - have a turbulent history to match the violence of its storms. Jon Gower is a sympathetic and interested pilot, taking the reader to the great shipyards of Belfast and through the mass exodus of the starving during the Irish Famine in coffin boats bound for America. He follows the migrations of working men and women looking for work in England and tells the tales of more casual travellers: sometimes seasick, often homesick too. The Irish Sea is also a place with an abundant natural history. The rarest sea bird in Europe visits its coasts in summer while the rarest goose wings in during winter. Jon Gower navigates waters teeming with life, filled with seals and salt-tanged stories and surveyed by seabirds. At a time when Irish affairs feel like they are building towards an historic crescendo, he tells the story of the people who have crossed these waters, and who live on their shores. Lyrically written and deeply considered, this is a remarkable and far-reaching book.",2023-02-16,"['popularscience', 'nature', 'naturewriting', '', 'history', 'general', 'worldhistory', 'history', 'historicalevents', 'topics', 'social', 'culturalhistory']",https://www.waterstones.com/book/the-turning-tide/jon-gower/9780008532635,https://cdn.waterstones.com/bookjackets/large/9780/0085/9780008532635.jpg
This Won't Hurt: How Medicine Fails Women (Hardback),Marieke Bigg,"'A hugely informative and quietly furious call to arms.' IRISH TIMES'A ground-breaking new book.' EVENING STANDARD'A must read.' DAILY EXPRESS'She is balanced in her evidence analysis, forensic in her research.' TELEGRAPH'A vital subject that needs to be discussed -KATY HESSEL, AUTHOR OF THE STORY OF ART WITHOUT MEN'A valuable sociological perspective on women's bodies and health and an even more valuable (and optimistic) view of a better future for all.' GINA RIPPONThe idea that medicine is gender-neutral is a myth. This isn't inflammatory rhetoric; it's simply true. From the way pain is felt, to how heart attacks are diagnosed, to the very role society plays in the health of the body, the medical landscape in place today is one that was designed for, and by, men. This book is about all the ways medicine is not gender-neutral, from research to treatment to diagnosis. Throughout history, flawed mindsets have paved the way for sub-par treatment, and the prevailing attitudes that still exist today have had terrible repercussions for women and their bodies. Blending fascinating examples with historical and cultural context, and reflecting on her own personal experience with healthcare, Dr Marieke Bigg explores how women's bodies have been ignored, misunderstood and misdiagnosed, whilst keeping an eye to a better future. This is a sharp and honest must-read, and an empowering tool for anyone committed to making this world safer to navigate for all.",2023-02-16,"['politics', 'society', 'education', 'society', 'culture', 'socialgroups', 'genderstudies', '', 'business', 'finance', 'law', 'law', 'jurisprudence', 'generalissues', 'gender', 'thelaw', 'science', 'technology', 'medicine', 'medicine', 'medicine:generalissues', 'historyofmedicine']",https://www.waterstones.com/book/this-wont-hurt/marieke-bigg/9781529377699,https://cdn.waterstones.com/bookjackets/large/9781/5293/9781529377699.jpg
